id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
400080,25621,4398,17.1656063386,99.7690531178,1965-01-04,2013-03-14
408211,4136,703,16.997098646,99.5381062356,1975-01-14,2013-03-14
400440,23839,3631,15.2313435966,99.3071593533,1973-03-14,2013-03-14
412518,72,10,13.8888888889,98.8452655889,2013-01-03,2013-03-14
412532,72,10,13.8888888889,98.8452655889,2013-01-03,2013-03-14
400350,13502,1787,13.235076285,98.6143187067,1993-01-05,2013-03-14
412259,3845,473,12.3016905072,98.3833718245,2008-04-10,2013-03-14
400163,13492,1576,11.6809961459,98.1524249423,1993-01-05,2013-03-14
412517,72,8,11.1111111111,97.92147806,2013-01-03,2013-03-14
412461,1678,185,11.0250297974,97.6905311778,2011-01-05,2013-03-14
412216,5209,561,10.7698214629,97.4595842956,2007-01-04,2013-03-14
400333,24502,2428,9.90939515142,97.2286374134,1971-01-21,2013-03-14
400179,11041,1043,9.44660809709,96.9976905312,1997-01-07,2013-03-14
400425,22867,2085,9.11794288713,96.766743649,1975-01-14,2013-03-14
400170,13503,1143,8.4647856032,96.5357967667,1993-01-05,2013-03-14
412412,1678,140,8.34326579261,96.3048498845,2011-01-05,2013-03-14
400271,10390,856,8.23869104909,96.0739030023,1998-02-11,2013-03-14
400048,13503,1104,8.17596089758,95.8429561201,1993-01-05,2013-03-14
412011,5805,461,7.94142980189,95.6120092379,2005-12-08,2013-03-14
400651,6423,504,7.84680056049,95.3810623557,2005-01-04,2013-03-14
400422,14435,1112,7.70349844129,95.1501154734,1991-01-03,2013-03-14
400439,24617,1891,7.68168338953,94.9191685912,1971-01-21,2013-03-14
400122,15339,1157,7.54286459352,94.688221709,1989-01-03,2013-03-14
400110,26767,2016,7.53166212127,94.4572748268,1956-01-31,2013-03-14
400130,12381,927,7.48727889508,94.2263279446,1995-01-04,2013-03-14
412404,1678,125,7.44934445769,93.9953810624,2011-01-05,2013-03-14
400278,22888,1695,7.40562740301,93.7644341801,1975-01-14,2013-03-14
400656,6423,468,7.28631480617,93.5334872979,2005-01-04,2013-03-14
400029,7644,555,7.26059654631,93.3025404157,2003-01-07,2013-03-14
400277,9844,705,7.16172287688,93.0715935335,1999-01-06,2013-03-14
400074,8640,607,7.02546296296,92.8406466513,2001-01-03,2013-03-14
412468,1678,117,6.9725864124,92.6096997691,2011-01-05,2013-03-14
400021,13503,939,6.95401021995,92.3787528868,1993-01-05,2013-03-14
400378,16276,1076,6.61096092406,92.1478060046,1987-01-06,2013-03-14
400089,8640,564,6.52777777778,91.9168591224,2001-01-03,2013-03-14
412215,5209,340,6.52716452294,91.6859122402,2007-01-04,2013-03-14
400240,16267,1056,6.49167025266,91.454965358,1987-01-06,2013-03-14
400379,11041,689,6.24037677747,91.2240184758,1997-01-07,2013-03-14
400355,7644,472,6.17477760335,90.9930715935,2003-01-07,2013-03-14
400157,11041,661,5.98677656009,90.7621247113,1997-01-07,2013-03-14
400659,6423,384,5.97851471275,90.5311778291,2005-01-04,2013-03-14
400206,14328,854,5.96035734227,90.3002309469,1991-05-22,2013-03-14
400018,17158,1009,5.88063876909,90.0692840647,1985-01-03,2013-03-14
400093,11041,649,5.87809075265,89.8383371824,1997-01-07,2013-03-14
400291,15339,892,5.8152421931,89.6073903002,1989-01-03,2013-03-14
400008,14435,836,5.79147904399,89.376443418,1991-01-03,2013-03-14
400162,7644,442,5.78231292517,89.1454965358,2003-01-07,2013-03-14
400356,11041,637,5.7694049452,88.9145496536,1997-01-07,2013-03-14
400199,12381,701,5.66190130038,88.6836027714,1995-01-04,2013-03-14
400211,18053,1003,5.55586329142,88.4526558891,1983-01-03,2013-03-14
412511,72,4,5.55555555556,87.7598152425,2013-01-03,2013-03-14
412551,72,4,5.55555555556,87.7598152425,2013-01-03,2013-03-14
412560,72,4,5.55555555556,87.7598152425,2013-01-03,2013-03-14
412221,5209,289,5.5480898445,87.5288683603,2007-01-04,2013-03-14
410396,1412,78,5.52407932011,87.2979214781,1995-01-04,2013-03-14
412382,2476,136,5.49273021002,87.0669745958,2009-11-05,2013-03-14
400627,6423,351,5.46473610462,86.8360277136,2005-01-04,2013-03-14
412208,5209,283,5.43290458821,86.6050808314,2007-01-04,2013-03-14
400283,14435,766,5.30654658815,86.3741339492,1991-01-03,2013-03-14
400233,9854,517,5.24660036533,86.143187067,1999-01-06,2013-03-14
412385,2138,112,5.23854069224,85.9122401848,2010-04-15,2013-03-14
400616,6563,340,5.1805576718,85.6812933025,2004-07-21,2013-03-14
400314,12868,666,5.17562946845,85.4503464203,1987-06-09,2013-03-14
412498,1076,55,5.11152416357,85.2193995381,2011-07-19,2013-03-14
400618,6423,326,5.07550988635,84.9884526559,2005-01-04,2013-03-14
412314,3333,168,5.04050405041,84.5265588915,2009-01-06,2013-03-14
412315,3333,168,5.04050405041,84.5265588915,2009-01-06,2013-03-14
412426,1678,84,5.00595947557,84.2956120092,2011-01-05,2013-03-14
400367,11035,551,4.99320344359,84.064665127,1997-01-07,2013-03-14
400344,15130,749,4.95042961005,83.8337182448,1989-05-17,2013-03-14
400204,13503,656,4.85817966378,83.6027713626,1993-01-05,2013-03-14
400047,10226,496,4.85038138079,83.3718244804,1998-05-21,2013-03-14
412308,3333,161,4.8304830483,83.1408775982,2009-01-06,2013-03-14
400289,13503,643,4.7619047619,82.9099307159,1993-01-05,2013-03-14
400661,6423,304,4.73299081426,82.6789838337,2005-01-04,2013-03-14
412199,5209,242,4.64580533692,82.4480369515,2007-01-04,2013-03-14
400108,7644,352,4.60491889063,82.2170900693,2003-01-07,2013-03-14
412397,1678,77,4.58879618594,81.9861431871,2011-01-05,2013-03-14
400641,6423,292,4.54616222949,81.7551963048,2005-01-04,2013-03-14
412419,1678,76,4.52920143027,81.5242494226,2011-01-05,2013-03-14
400038,7644,346,4.526425955,81.2933025404,2003-01-07,2013-03-14
400251,13503,608,4.50270310301,81.0623556582,1993-01-05,2013-03-14
400623,6423,285,4.43717888837,80.831408776,2005-01-04,2013-03-14
400046,11041,489,4.42894665338,80.6004618938,1997-01-07,2013-03-14
400257,11041,488,4.41988950276,80.3695150115,1997-01-07,2013-03-14
400068,7644,337,4.40868655154,80.1385681293,2003-01-07,2013-03-14
400185,8635,379,4.38911407064,79.9076212471,2001-01-03,2013-03-14
400063,9854,431,4.37385833164,79.6766743649,1999-01-06,2013-03-14
400349,7644,334,4.36944008373,79.4457274827,2003-01-07,2013-03-14
400158,8640,377,4.36342592593,79.2147806005,2001-01-03,2013-03-14
400416,13503,587,4.34718210768,78.9838337182,1993-01-05,2013-03-14
400309,11041,474,4.29308939408,78.752886836,1997-01-07,2013-03-14
412432,1678,72,4.29082240763,78.5219399538,2011-01-05,2013-03-14
400101,11041,472,4.27497509284,78.2909930716,1997-01-07,2013-03-14
412286,1727,73,4.22698320787,78.0600461894,2009-01-06,2013-03-14
400262,15338,647,4.21828139262,77.8290993072,1989-01-03,2013-03-14
412186,5236,220,4.20168067227,77.5981524249,2006-11-13,2013-03-14
400290,9854,411,4.17089506799,77.3672055427,1999-01-06,2013-03-14
412524,72,3,4.16666666667,76.6743648961,2013-01-03,2013-03-14
412529,72,3,4.16666666667,76.6743648961,2013-01-03,2013-03-14
412571,72,3,4.16666666667,76.6743648961,2013-01-03,2013-03-14
400114,12381,515,4.15959938616,76.4434180139,1995-01-04,2013-03-14
400033,11290,466,4.12754650133,76.2124711316,1996-05-30,2013-03-14
412500,972,40,4.11522633745,75.9815242494,2011-09-15,2013-03-14
400253,21685,891,4.10883098916,75.7505773672,1977-01-04,2013-03-14
400366,14924,601,4.02707049049,75.519630485,1990-03-28,2013-03-14
400060,8640,347,4.0162037037,75.2886836028,2001-01-03,2013-03-14
400036,12772,512,4.00876918259,75.0577367206,1991-01-03,2013-01-23
