congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
104,1995,h,0,279,5,1.79211469534,61.5384615385,1995-01-04,1995-03-30,0.358422939068,1.0752688172,2.86738351254,5.73476702509
104,1995,h,1,189,3,1.5873015873,43.2692307692,1995-04-03,1995-06-30,0.529100529101,1.5873015873,3.83597883598,7.40740740741
104,1995,h,2,232,2,0.862068965517,32.6923076923,1995-07-10,1995-09-29,0.431034482759,1.29310344828,3.01724137931,6.20689655172
104,1995,h,3,185,0,0.0,0.0,1995-10-11,1995-12-22,0.540540540541,1.35135135135,3.78378378378,7.24324324324
104,1996,h,0,110,1,0.909090909091,30.7692307692,1996-01-03,1996-03-29,0.0,1.81818181818,4.77272727273,9.09090909091
104,1996,h,1,182,1,0.549450549451,16.1904761905,1996-04-15,1996-06-28,0.549450549451,2.1978021978,3.84615384615,6.92307692308
104,1996,h,2,163,0,0.0,0.0,1996-07-10,1996-09-28,0.613496932515,1.84049079755,4.29447852761,7.11656441718
105,1997,h,0,71,0,0.0,0.0,1997-01-07,1997-03-21,0.0,1.40845070423,5.6338028169,9.43661971831
105,1997,h,1,174,7,4.02298850575,73.3870967742,1997-04-08,1997-06-26,0.574712643678,1.72413793103,4.02298850575,6.32183908046
105,1997,h,2,232,4,1.72413793103,50.0,1997-07-08,1997-09-30,0.431034482759,1.50862068966,3.87931034483,6.76724137931
105,1997,h,3,163,3,1.84049079755,48.3870967742,1997-10-01,1997-11-13,0.613496932515,1.84049079755,4.29447852761,8.40490797546
105,1998,h,0,89,5,5.61797752809,71.4285714286,1998-01-27,1998-03-31,0.0,2.24719101124,5.61797752809,13.4831460674
105,1998,h,1,185,4,2.16216216216,50.0,1998-04-01,1998-06-25,0.540540540541,1.93822393822,4.86486486486,9.35135135135
105,1998,h,2,199,9,4.52261306533,71.875,1998-07-14,1998-09-28,0.502512562814,2.01005025126,4.52261306533,7.68844221106
105,1998,h,3,74,2,2.7027027027,57.03125,1998-10-01,1998-12-19,0.0,1.35135135135,4.39189189189,7.16216216216
106,1999,h,0,77,1,1.2987012987,32.1678321678,1999-01-06,1999-03-25,0.0,1.2987012987,3.8961038961,7.79220779221
106,1999,h,1,184,26,14.1304347826,97.2222222222,1999-04-12,1999-06-30,0.54347826087,1.63043478261,4.34782608696,7.60869565217
106,1999,h,2,204,3,1.47058823529,47.9166666667,1999-07-01,1999-09-30,0.0,1.47058823529,2.45098039216,5.88235294118
106,1999,h,3,146,9,6.16438356164,77.0833333333,1999-10-01,1999-11-18,0.684931506849,2.05479452055,4.79452054795,9.58904109589
106,2000,h,0,95,15,15.7894736842,89.5833333333,2000-01-27,2000-03-30,1.05263157895,3.15789473684,7.36842105263,15.4736842105
106,2000,h,1,277,27,9.74729241877,88.1944444444,2000-04-03,2000-06-30,0.361010830325,2.52707581227,4.69314079422,10.0
106,2000,h,2,130,2,1.53846153846,43.75,2000-07-10,2000-09-28,0.0,1.53846153846,3.84615384615,7.69230769231
106,2000,h,3,101,12,11.8811881188,74.3055555556,2000-10-02,2000-12-15,1.9801980198,6.93069306931,11.8811881188,22.4752475248
113,2013,h,0,89,0,0.0,0.0,2013-01-03,2013-03-21,0.0,1.12359550562,4.49438202247,10.1123595506
lifetime,,h,,3830,141,3.68146214099,72.7482678984,1995-01-04,2013-03-21,1.07462686567,2.19576719577,3.97928994083,5.93759867438
